import time: self [us] | cumulative | imported package
import time:      2170 |       2170 |                     pymongo.asynchronous.helpers
import time:      2667 |       2667 |                     pymongo.bulk_shared
import time:      2670 |       2670 |                       bson.json_util
import time:      3652 |       6321 |                     pymongo.logger
import time:      4213 |      15370 |                   pymongo.asynchronous.bulk
import time:      3789 |       3789 |                   pymongo.asynchronous.cursor
import time:      2107 |       2107 |                   pymongo.results
import time:      4150 |      25414 |                 pymongo.asynchronous.collection
import time:      1931 |       1931 |                 pymongo.database_shared
import time:      2560 |      45158 |               pymongo.asynchronous.database
import time:      1831 |       1831 |                 pymongo.asynchronous.srv_resolver
import time:       202 |        202 |                         _wmi
import time:      1778 |       1980 |                       platform
import time:      3703 |       3703 |                             xml
import time:      2109 |       5812 |                           xml.parsers
import time:      6526 |       6526 |                           pyexpat
import time:      2256 |      14593 |                         xml.parsers.expat
import time:      3098 |      17690 |                       plistlib
import time:       607 |        607 |                         stringprep
import time:       875 |       1482 |                       encodings.idna
import time:      5303 |      26454 |                     pymongo.pool_options
import time:       228 |        228 |                           cryptography
import time:        96 |        323 |                         cryptography.x509
import time:      2501 |       2824 |                       pymongo.pyopenssl_context
import time:      1879 |       1879 |                       pymongo.ssl_context
import time:      1727 |       6429 |                     pymongo.ssl_support
import time:      2289 |      35170 |                   pymongo.client_options
import time:      2384 |      37554 |                 pymongo.uri_parser_shared
import time:      1950 |      41334 |               pymongo.asynchronous.uri_parser
import time:      2077 |       2077 |                 pymongo._client_bulk_shared
import time:      5735 |       7811 |               pymongo.asynchronous.client_bulk
import time:      2625 |       2625 |                   pymongo.server_description
import time:      3276 |       5900 |                 pymongo.asynchronous.monitor
import time:      3768 |       3768 |                       pymongo.socket_checker
import time:       195 |        195 |                           cryptography
import time:        77 |        272 |                         cryptography.x509
import time:       794 |       1065 |                       pymongo.pyopenssl_context
import time:      2807 |       7639 |                     pymongo.network_layer
import time:      3545 |      11184 |                   pymongo.asynchronous.network
import time:      1988 |       1988 |                   pymongo.pool_shared
import time:      3865 |      17036 |                 pymongo.asynchronous.pool
import time:      5490 |       5490 |                 pymongo.topology_description
import time:      2475 |      30900 |               pymongo.asynchronous.settings
import time:      2286 |       2286 |                   _queue
import time:      1112 |       3398 |                 queue
import time:      1919 |       1919 |                 pymongo.asynchronous.server
import time:      3661 |       8977 |               pymongo.asynchronous.topology
import time:      3293 |     359021 |             pymongo.asynchronous.mongo_client
import time:      4038 |       4038 |                 pymongo.synchronous
import time:      2586 |       2586 |                 pymongo.synchronous.cursor_base
import time:      1827 |       1827 |                 pymongo.synchronous.helpers
import time:      4226 |      12676 |               pymongo.synchronous.cursor
import time:      1739 |      14414 |             pymongo.cursor
import time:      3506 |       3506 |               pymongo.synchronous.aggregation
import time:      3195 |       3195 |                 pymongo.synchronous.client_session
import time:      2627 |       5822 |               pymongo.synchronous.bulk
import time:      2547 |       2547 |                 pymongo.synchronous.command_cursor
import time:      2348 |       4895 |               pymongo.synchronous.change_stream
import time:      5813 |      20035 |             pymongo.synchronous.collection
import time:      2920 |       2920 |               pymongo.synchronous.database
import time:      2330 |       2330 |                 pymongo.synchronous.srv_resolver
import time:      3556 |       5886 |               pymongo.synchronous.uri_parser
import time:      2937 |       2937 |               pymongo.synchronous.client_bulk
import time:      2953 |       2953 |                 pymongo.synchronous.monitor
import time:      2446 |       2446 |                   pymongo.synchronous.network
import time:      3573 |       6019 |                 pymongo.synchronous.pool
import time:      5384 |      14354 |               pymongo.synchronous.settings
import time:      2535 |       2535 |                 pymongo.synchronous.server
import time:      2422 |       4956 |               pymongo.synchronous.topology
import time:      6620 |      37670 |             pymongo.synchronous.mongo_client
import time:      1603 |       1603 |             pymongo.uri_parser
import time:      1801 |       1801 |             pymongo.change_stream
import time:      1941 |       1941 |             pymongo.client_session
import time:      2927 |       2927 |             pymongo.collection
import time:      1618 |       1618 |             pymongo.command_cursor
import time:      1670 |       1670 |             pymongo.database
import time:      3044 |     451107 |           pymongo
import time:       932 |        932 |                 pymongo._azure_helpers
import time:       632 |        632 |                 pymongo._gcp_helpers
import time:      5480 |       7042 |               pymongo.auth_oidc_shared
import time:      3707 |      10749 |             pymongo.auth_shared
import time:      1557 |       1557 |               pymongo.saslprep
import time:      1879 |       1879 |               pymongo.synchronous.auth_aws
import time:      3591 |       3591 |               pymongo.synchronous.auth_oidc
import time:       246 |        246 |               winkerberos
import time:       167 |        167 |               kerberos
import time:      2060 |       9498 |             pymongo.synchronous.auth
import time:      2129 |      22374 |           pymongo.auth
import time:      1669 |       1669 |           pymongo.mongo_client
import time:       233 |        233 |                 pymongocrypt
import time:        90 |        323 |               pymongocrypt.errors
import time:      1640 |       1640 |               pymongo.daemon
import time:       257 |        257 |                 pymongocrypt
import time:      2378 |       2635 |               pymongo.encryption_options
import time:      3553 |       8149 |             pymongo.synchronous.encryption
import time:      2033 |      10182 |           pymongo.encryption
import time:      3763 |       3763 |           motor.docstrings
import time:      2112 |       2112 |           motor.metaprogramming
import time:      3149 |       3149 |           motor.motor_common
import time:      2535 |     496889 |         motor.core
import time:      1915 |       1915 |                   gridfs.errors
import time:      2149 |       2149 |                   gridfs.grid_file_shared
import time:      4853 |       8916 |                 gridfs.asynchronous.grid_file
import time:      8822 |      17737 |               gridfs.asynchronous
import time:       128 |      17865 |             gridfs.asynchronous.grid_file
import time:      3234 |       3234 |                 gridfs.synchronous.grid_file
import time:      4802 |       8036 |               gridfs.synchronous
import time:        62 |       8097 |             gridfs.synchronous.grid_file
import time:      3565 |      29527 |           gridfs
import time:      1638 |       1638 |           gridfs.grid_file
import time:      2450 |      33614 |         motor.motor_gridfs
import time:      1984 |       1984 |         motor.frameworks
import time:       670 |        670 |               multiprocessing.process
import time:      2244 |       2244 |                   _compat_pickle
import time:      2337 |       2337 |                   _pickle
import time:      1513 |       6094 |                 pickle
import time:       647 |       6740 |               multiprocessing.reduction
import time:      1136 |       8545 |             multiprocessing.context
import time:       643 |       9187 |           multiprocessing
import time:       555 |        555 |           concurrent.futures.thread
import time:        89 |         89 |           asyncio.coroutine
import time:      2102 |      11931 |         motor.frameworks.asyncio
import time:      4008 |     552327 |       motor.motor_asyncio
import time:      5556 |       5556 |             dotenv.parser
import time:      3783 |       3783 |             dotenv.variables
import time:      2660 |      11998 |           dotenv.main
import time:      1186 |      13184 |         dotenv
import time:      4661 |      17844 |       app.config
import time:      2117 |       2117 |         dns.version
import time:      1970 |       4086 |       dns
import time:     12488 |     586744 |     app.database
import time:       296 |        296 |       app.utils
import time:      1632 |       1632 |         jose.exceptions
import time:      2197 |       3829 |       jose
import time:       279 |        279 |                         cryptography
import time:       109 |        387 |                       cryptography.utils
import time:      7996 |       7996 |                           six
import time:       921 |        921 |                                 gmpy2
import time:       759 |        759 |                                 gmpy
import time:       171 |        171 |                                   six.moves
import time:       551 |        551 |                                   gmpy2
import time:       285 |        285 |                                   gmpy
import time:      2393 |       2393 |                                       ecdsa._compat
import time:      2388 |       4781 |                                     ecdsa.der
import time:      2581 |       7362 |                                   ecdsa.util
import time:     11305 |      19672 |                                 ecdsa.numbertheory
import time:      1680 |       1680 |                                 ecdsa.errors
import time:      3369 |      26399 |                               ecdsa.ellipticcurve
import time:      2951 |      29349 |                             ecdsa.ecdsa
import time:      1910 |       1910 |                               ecdsa._sha3
import time:      1922 |       3831 |                             ecdsa.eddsa
import time:      1957 |       1957 |                             ecdsa.ssh
import time:      1696 |       1696 |                             ecdsa.rfc6979
import time:      2389 |       2389 |                             ecdsa.curves
import time:      3741 |      42962 |                           ecdsa.keys
import time:      2714 |       2714 |                           ecdsa.ecdh
import time:      1522 |       1522 |                           ecdsa._version
import time:      2127 |      57319 |                         ecdsa
import time:        64 |      57382 |                       ecdsa.ecdsa
import time:      3150 |      60918 |                     jose.utils
import time:      2165 |      63082 |                   jose.backends.base
import time:      1868 |       1868 |                   jose.constants
import time:      2781 |      67731 |                 jose.backends.native
import time:       305 |        305 |                     cryptography
import time:       134 |        439 |                   cryptography.exceptions
import time:      1998 |       2437 |                 jose.backends.cryptography_backend
import time:      1672 |       1672 |                         rsa.common
import time:      1865 |       1865 |                           rsa.transform
import time:      3357 |       5221 |                         rsa.randnum
